HF,1,1,stofn frá Víkurströnd,B-1-1,
HF,1,2,stofn frá Kirkjubraut/Válhúsabraut,B-1-1,
HF,1,3,stofn frá Austurströnd,B-1-1,
HF,1,4,heimæð að kirkju,B-1-1,
HF,1,5,heimæð að Kirkjubraut 4-18,,
HF,1,6,stofn Kirkjubraut að brunni B-1-1,B-1-2,
HF,1,7,heimæð Kirkjubraut 1-13,B-1-2,
HF,1,8,heimæð Skólabraut - Mýrarhúsaskóli - Mýró eldri,B-1-3,
HF,1,9,heimæð Skólabraut 7 - Valhúsaskóli,B-1-3,
HF,1,10,stofn að Suðurströnd,B-1-3,
HF,1,11,heimæð að Heilsugæslu,B-1-4,
HF,1,12,vantar upplýsingar,B-1-4,
HB,1,13,bakrennsli frá skólunum og íþróttahúsi,,við völlinn
HF,1,14,heimæð íþróttavöllur,,í plani heilsugæslu
HF,1,15,stofn að Suðurströnd,,í plani heilsugæslu
HF,1,16,heimæð Worldclass,,ofar við hús
HB,1,17,bakrennsli Worldclass,,neðar við hús
HF,1,18,stofn að Suðurströnd við sundlaug,,
,1,,stofn 10m/m að Selbraut,B-1-5,brunnur - enginn krani í brunninum
HF,1,19,heimæð íþróttahús við Félagsheimili,,
HF,1,20,stofn í Selbraut,,
HF,1,21,heimæð Hrólfsskálavör 7-15,B-1-6,
HF,1,22,heimæð Hrólfsskálamel 2-8,B-1-7,
HF,1,23,stofn að Nesvegi í brunn B-7-3,B-1-7,
HF,1,24,heimæð Hrólfsskálamel 10-18,B-1-7,
HF,1,25,heimæð Mýrarhúsaskóla nýjasti hluti,,
HS,1,26,sandgildra við enda Kirkjubrautar,,
,1,,snjóbræðsla við Tónlistarskóla,B-1-8,ath loka sem gætu nýst
HF,1,27,snjóbræðsla Mýróvöllur við Hrólfsskálamel 2,,
HF,2,1,stofn upp Hæðarbraut frá stöð,,
HB,2,2,bakrennsli niður Hæðarbraut að stöð,,
HF,2,3,"stofn að Suðurströnd , loki í brunni B-2-8",B-2-1,
HB,2,4,bakrennsli frá Suðurströnd,B-2-1,
HF,2,5,stofn í Vallarbraut suður,B-2-2,
HB,2,6,bakrennsli í Vallarbraut suður,B-2-2,
HF,2,7,stofn í Miðbraut í brunn B-3-3,B-2-3,
HB,2,8,bakrennsli í Miðbraut í brunn B-3-3,B-2-3,
HF,2,9,stofn í Miðbraut suður að nr.9,B-2-3,
HB,2,10,bakrennsli í Miðbraut suður að nr.9,B-2-3,
HF,2,11,stofn í Melabraut suður að nr.1,B-2-4,
HB,2,12,bakrennsli í Melabraut suður að nr.1,B-2-4,
HF,2,13,stofn upp Hæðarbraut að Kirkjubraut,,
HB,2,14,bakrennsli niður Hæðarbraut frá Valhúsabraut 9,,
HF,2,15,loki fyrir heimæð Valhúsabraut 21-39,,vantar bakrásarloka
,,,Lindarbraut/Suðurströnd,B-2-5,
HF,2,16,stofn Lindarbraut /Suðurströnd að Nesvegi við nr. 11,,
HB,2,17,bakrennsli Lindarbraut/Suðurströnd að Nesvegi við nr.11,,
HF,2,18,stofn fyrir heimæðar Lindarbraut 1-13 við nr.1,,
HB,2,19,bakrennsli heimæðar Lindarbraut 1-13 við nr.1,,
HS,2,20,sandgildra neðan Suðurstrandar,,
HS,2,21,sandgildra við Lindarbraut 2-2A,,
HF,2,22,stofn fyrir heimæðar Miðbraut 2-8,B-2-6,
HB,2,23,bakrennsli fyrir heimæðar Miðbraut 2-8,B-2-6,
HF,2,24,stofn fyrir heimæðar Unnarbraut 11-19 /20-30,B-2-7,
HB,2,25,bakrennsli fyrir heimæðar Unnarbraut 11-19 /20-30,B-2-7,
HB,2,26,bakrennsli til vara - þarf að tengja í lögn í Suðurströnd,B-2-7,
HF,2,27,stofn fyrir heimæðar Unnarbraut 1-9 /2-18,B-2-8,
HB,2,28,bakrennsli fyrir heimæðar Unnarbraut 1-9 /2-18,B-2-8,
HF,2,29,stofn (aðalæð) að Bakkavör og Selbraut,B-2-8,
HF,2,30,stofn aðalæð við Bakkavör,B-2-9,
HF ,2,31,heimæð við Bakkavör 1-9,B-2-9,
HF,2,32,stofn fyrir heimæðar í Bakkavör 2-44,B-2-9,
HB,2,33,bakrennsli fyrir heimæðar í Bakkavör 2-44,B-2-9,
HF,2,34,heimæð Björgunarsveit,B-2-9,einfalt
HF,2,35,stofn (aðalæð) að Selbraut (í götu),,
,,,Brunnur á móti Bakkagarði,B-2-10,
HF,2,36,Loki á stofni framrás frá Lindarbraut,B-2-10,
HB,2,37,Loki á stofni bakrás frá Lindarbraut,B-2-10,
HF,2,38,Loki á stofni framrás að brunni B-2-9,B-2-10,
HB,2,39,Loki á stofni bakrás að brunni B-2-10,B-2-10,
HF,2,40,Stofn frá Bakkavör að Kirkjubraut ,,loki í grasi við stíg
HF,2,41,Heimæðar að Valhúsabraut 1-7,,einfalt
HF ,2,42,Heimæðar að Valhúsabraut 2-20,,
HF,2,43,Heimæðar að Valhúsabraut 9-17,,ath
HB,2,44,Bakrennsli að Valhúsabraut 9-17,,ath
HF,2,45,Stofn frá stöð  að Kirkjubraut  við Hæðarbraut,,
HF,3,1,Stofnlögn upp Hæðarbraut,B-3-1,
HF,3,2,Stofnlögn upp Lindarbraut,B-3-1,
HB,3,3,Bakrennsli plastlögn frá Bakkavör,B-3-1,
HB,3,4,Bakrennsli frá Nesbala,B-3-1,
HF ,3,5,Heimæð Lindarbraut 16,B-3-1,einfalt
HF ,3,6,Heimæð Lindarbraut 15-17,B-3-1,einfalt
HF ,3,7,Stofn fyrir heimæðar Vallarbraut N að Melabraut,,
HB,3,8,Bakrennsli fyrir heimæðar Vallarbraut N að Melabraut,,
HF ,3,9,Stofn fyrir heimæðar Melabraut N,,
HB,3,10,Bakrennsli fyrir heimæðar Melabraut N,,
HB,3,11,Ath bakrás Valhúsabraut N ,,eftir að koma
HB,3,12,"Bakrennsli 6"" lögn í Lindarbraut að stíg",,hjá stöð
HB,3,13,Bakrennsli Lindarbraut heimæðar,,við nr. 15
HF ,3,14,Framrás í Nesbala,,við gatnamót
HB,3,15,Bakrás heimaæðar í Lindarbraut,,við nr. 23
HF ,3,16,Stofn frá Vallarbraut,B-3-3,
HB,3,17,Bakrennsli frá Vallarbraut,B-3-3,
HF,3,18,Stofn að Hofgörðum,B-3-3,
HB,3,19,Bakrennsli frá Hofgörðum,B-3-3,
HF,3,20,Stofn fyrir heimæðar Miðbraut að Hæðarbraut,B-3-3,
HB,3,21,Bakrennsli fyrir heimæðar Miðbraut að Hæðarbraut,B-3-3,
HF,3,22,Heimæð fyrir Melabraut 50,B-3-3,
HB,3,23,Bakrennsli fyrir Melabraut 50,B-3-3,
HF,3,24,Stofn fyrir Vallarbraut að Hofgörðum,B-3-4,
HB,3,25,Bakrennsli frá Vallarbraut að Hofgörðum,B-3-4,
HF,3,26,Stofn fyrir heimæðar Melabraut að Hæðarbraut,B-3-4,
HB,3,27,Bakrennsli fyrir heimæðar Melabraut að Hæðarbraut,B-3-4,
HF,3,28,Heimæð fyrir Melabraut 44,B-3-4,
HB,3,29,Bakrennsli fyrir Melabraut 44,B-3-4,
HB,3,30,Bakrennsli fyrir Lindarbraut 29,,
HF,3,31,"Lokar fyrir stofn að Sævargörðum,Sefgörðum,Bygggörðum",B-3-2,
HF,3,32,Lokar fyrir heimæð Lindarbraut 33,B-3-2,
HF,3,33,Lokar fyrir stofn upp Hofgarða/Bollagarða/Lindarbraut 35-47,B-3-2,
HF,3,34,Lokar fyrir stofn upp Bollagarða/Lindarbraut 35-37/sandgildru,B-3-2,Ath - 2 lokar
HF,3,35,Lokar fyrir stofn upp Bollagarða/Lindarbraut 35-37/sandgildru,,Ath - 2 lokar
HF,3,36,Lokar fyrir Bollagarða,,
HS,3,37,Lokar fyrir sandgildru affall,,
HF,3,38,Loki fyrir heimæðar Lindarbraut 35-47,B-3-7,
HB,3,39,Bakrennsli fyrir heimæðar Lindarbraut 35-47,B-3-7,
HF,3,40,Loki á stofni fyrir Hofgarða 6,,
HF,3,41,Loki á framrás upp Hofgarða 17-25 / ...,B-3-5,
HB,3,42,Bakrennsli upp Hofgarða 17-25 / ...,B-3-5,
HF,3,43,Loki á framrás úr Hofgörðum,B-3-5,
HF,3,44,Loki á framrás úr Melabraut,B-3-5,
HB,3,45,Bakrás úr Melabraut,B-3-5,
HB,3,46,Bakrás úr Bollagörðum,B-3-5,
HF,3,47,Loki á heimæð Bollagörðum 18 Björk,B-3-5,
HF,3,48,Loki í garði Hofgörðum 21/Bollagörðum 24-26/Vesturströnd 10,,
HF,3,49,Loki á stofni við Bollagarða 20,,
HF,3,50,Heimæðarloki fyrir Bollagarða 65-83,,
HF,3,51,Heimæðarloki fyrir Bollagarða 85-99,,
HF,3,52,Heimæðarloki fyrir Bollagarða 101-111,,
HF,3,53,Heimæðarloki fyrir Bollagarða 113-121,,
HS,3,54,Loki fyrir sandgildru við Bollagarða 22,,
HF,3,55,Loki á stofni Bollagörðum,B-3-6,
HF,3,56,Loki fyrir heimæð Vesturströnd 1-13,B-3-6,
HF,3,57,Loki á stofni frá Hofgörðum,,
HF,3,58,Loki frá stofni að Kirkjubraut,,
HF,3,59,Loki heimæð Vesturströnd 1-25,,
HF,3,60,Loki heimæð Vesturströnd 14-20 og 27-31,,
HS,3,61,Sandgildra efst í stíg Hofgörðum að Vesturströnd,,
HB,4,1,Retúr frá Nesbala að Lindarbraut og stöð neðan við Suðurströnd,,var brunnur
HB,4,2,stofnloki fyrir Nesbala 108-126,,
HF,4,3,stofnloki fyrir Nesbala 108-126,,
HB,4,4,heimæð fyrir Nesbala 17-35,B-4-2,
HF,4,5,heimæð fyrir Nesbala 17-35,B-4-2,
HB,4,6,heimæð fyrir Nesbala 1-15/2-44; Neströð 1-7; Nesstofa; Lyfjafræðisafn,B-4-2,
HF,4,7,heimæð fyrir Nesbala 1-15/2-44; Neströð 1-7; Nesstofa; Lyfjafræðisafn,B-4-2,
HB,4,8,heimæð fyrir Nesbala 1,B-4-7,
HF,4,9,heimæð fyrir Nesbala 1,B-4-7,
HF,4,10,heimæð fyrir Sævargarða öll hús,,einfalt
HF,4,11,stofn fyrir Sefgarða / Bygggarða / Safnatröð,,einfalt
HF,4,12,heimæð Sefgarðar 2-20,,einfalt
HF,4,13,stofn Sefgarðar 22-28 / Borgarplast / Bygggarðar,,einfalt
HF,4,14,heimaæð Læknaminjasafn,,einfalt
HF,4,15,heimæð Sefgarðar 26-28,B-4-6,einfalt
HF,4,16,stofn Borgarplast Bygggarðar,B-4-6,einfalt
HH,4,17,Háhitaleiðsla frá holu 4,B-4-5,
HH,4,18,Háhitaleiðsla frá holu 4 og 5,B-4-5,
HH,4,19,Háhitaleiðsla frá holu 5,B-4-5,
HH,4,20,Háhitaleiðsla frá holu 4 og 5,B-4-5,
HH,4,21,Háhitaleiðsla frá holu 5,B-4-5,millitenging
HH,4,22,Háhitaleiðsla frá holu 12,,við holu 6
HH,4,23,Háhitaleiðsla frá holu 4?,B-4-3,í brunni
HH,4,24,Háhitaleiðsla frá holu 5?,,við brunn
HH,4,25,Háhitaleiðsla frá nýrri lögn,,við brunn
HF,5,1,heimæðar Barðaströnd 16-20 /45-51,B-5-1,
HS,5,2,Sandfang Barðaströnd 47,,
HF,5,3,Heimæðar Barðaströnd 2-4 / 1-23,,neðarlega í stíg
HF,5,4,Stofn frá Vesturströnd,,í stígamótum
HF,5,5,Stofn að Látraströnd,,í stígamótum
HF,5,6,Stofn frá Látraströnd að Fornaströnd,,
HF,5,7,Stofn frá Fornaströnd að Víkurströnd,,
HF,5,8,Heimæðar Víkurströnd 4-6 / 1-15,B-5-2,
HF,5,9,Stofn frá Víkurströnd að Nesvegi / Kirkjubraut í brunn B-1-1,B-5-2,
,6,,Brunnur á móti Steinavör,B-6-1,
HF,6,1,Heimæðar Steinavör öll hús,,í grasi
HB,6,2,Bakrennsli Steinavör (ekki í húsunum),,
HF,6,3,Heimæðar Hrólfsskálavör 2-14 /1-5,,í götu
HB,6,4,Heimæðar Hrólfsskálavör 2-14 /1-5,,
HB,6,5,Bakrennsli í Suðurströnd á móti World Class,,sýndur í tölvu
HF,6,6,Stofn frá Suðurströnd í Selbraut / Nesveg,,í stíg
HF,6,7,Stofnlokar fyrir Selbraut,,í stíg
HB,6,8,Stofn fyrir bakrennsli frá Hrólfsskálamel,,í stíg
HF,6,9,Stofn í Sæbraut,B-6-2,
HF,6,10,Heimæðar Selbraut 1-17 / 2-44; Sólbraut 18; Mánabrekka,B-6-2,
